Text: , Confidence: -1
Text: , Confidence: -1
Text: , Confidence: -1
Text: , Confidence: -1
Text:  , Confidence: 95
Text: , Confidence: -1
Text:    , Confidence: 95
Text:   , Confidence: 95
Text: , Confidence: -1
Text: , Confidence: -1
Text: , Confidence: -1
Text: 77, Confidence: 94
Text: , Confidence: -1
Text: Deep, Confidence: 96
Text: Questions, Confidence: 96
Text: , Confidence: -1
Text: About, Confidence: 96
Text: Life, Confidence: 96
Text: , Confidence: -1
Text: , Confidence: -1
Text: , Confidence: -1
Text: .WHAT, Confidence: 51
Text: IS, Confidence: 93
Text: CREATIVITY?, Confidence: 96
Text: , Confidence: -1
Text: , Confidence: -1
Text: .WHY, Confidence: 74
Text: LETTING, Confidence: 95
Text: GO, Confidence: 95
Text: IS, Confidence: 95
Text: HARD?, Confidence: 96
Text: , Confidence: -1
Text: .DO, Confidence: 63
Text: |, Confidence: 66
Text: FORGIVE, Confidence: 95
Text: PEOPLE?, Confidence: 95
Text: , Confidence: -1
Text: , Confidence: -1
Text: .DO, Confidence: 78
Text: |, Confidence: 76
Text: LOVE, Confidence: 89
Text: PRESTIGE?, Confidence: 95
Text: , Confidence: -1
Text: , Confidence: -1
Text: .DO, Confidence: 72
Text: I, Confidence: 69
Text: MAKE, Confidence: 96
Text: EXCUSES?, Confidence: 94
Text: , Confidence: -1
Text: , Confidence: -1
Text: .AM, Confidence: 56
Text: |, Confidence: 88
Text: HONEST, Confidence: 94
Text: WITH, Confidence: 95
Text: MYSELF?, Confidence: 96
Text: , Confidence: -1
Text: .WHAT, Confidence: 51
Text: IF, Confidence: 95
Text: MONEY, Confidence: 95
Text: WASN'T, Confidence: 67
Text: A, Confidence: 67
Text: , Confidence: -1
Text: CONSTRAINT?, Confidence: 95
Text: , Confidence: -1
Text: , Confidence: -1
Text: a, Confidence: 5
Text: he, Confidence: 62
Text: |, Confidence: 92
Text: LOVE, Confidence: 95
Text: ENOUGH?, Confidence: 96
Text: , Confidence: -1
Text: , Confidence: -1
Text: .HOW, Confidence: 13
Text: TO, Confidence: 95
Text: QUANTIFY, Confidence: 96
Text: EFFORT?, Confidence: 95
Text: , Confidence: -1
Text: , Confidence: -1
Text: , Confidence: -1
Text: NY, Confidence: 0
Text: Click, Confidence: 96
Text: to, Confidence: 96
Text: read, Confidence: 96
Text: all, Confidence: 88
Text: , Confidence: -1
Text: , Confidence: -1
Text: , Confidence: -1
Text: the, Confidence: 96
Text: life, Confidence: 96
Text: questions, Confidence: 90
Text: ., Confidence: 90
Text: , Confidence: -1
Text: , Confidence: -1
Text: , Confidence: -1
Text:   , Confidence: 95
Text:   , Confidence: 95
Text: , Confidence: -1
Text: , Confidence: -1
Text: , Confidence: -1
Text: NOMA, Confidence: 57
Text: WH, Confidence: 63
Text: —, Confidence: 78
Text: , Confidence: -1
Text: , Confidence: -1
Text: , Confidence: -1
Text: oa, Confidence: 45
Text: , Confidence: -1
Text: , Confidence: -1
Text: , Confidence: -1
Text: www.onmycanvas.com, Confidence: 89
